,namespace,Total Conteudos,ARTICLE,Tarefas,AUDIO,EMBEDCONTENT,S.Exs,GDOCS,GSHEETS,GSLIDES,LINKCONTENT,LINKEDEXAM,PRESENTATION,VIDEO,VIDEOCONF
170,overabelcabral,9404,1368.0,991.0,0.0,0.0,196.0,2.0,0.0,30.0,55.0,51.0,675.0,224.0,5812.0
171,overjoaopessoa,791,15.0,14.0,0.0,0.0,10.0,0.0,0.0,15.0,5.0,1.0,99.0,44.0,588.0
172,overlimaesilva,2338,260.0,886.0,0.0,0.0,0.0,2.0,0.0,0.0,25.0,0.0,217.0,186.0,762.0
173,overmarciliofurtado,6205,403.0,266.0,0.0,0.0,67.0,0.0,0.0,11.0,57.0,0.0,390.0,87.0,4924.0
174,overmossoro,2527,173.0,391.0,0.0,0.0,18.0,0.0,0.0,0.0,58.0,0.0,284.0,61.0,1542.0
175,overnascimentodecastro,1719,2.0,0.0,0.0,0.0,6.0,1.0,0.0,115.0,4.0,0.0,263.0,74.0,1254.0
176,overpontanegra,6327,330.0,835.0,0.0,0.0,51.0,0.0,0.0,0.0,59.0,26.0,533.0,100.0,4393.0
177,overzonanorte,6466,273.0,348.0,0.0,0.0,35.0,0.0,0.0,0.0,51.0,6.0,526.0,52.0,5175.0
178,palmares,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
179,pauloviana,30,12.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,8.0,0.0
180,pedrocamelo,22,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,1.0
181,pesenglish,344,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,29.0,270.0,0.0
182,physicsalcindocacela,1705,775.0,3.0,0.0,0.0,113.0,0.0,0.0,2.0,7.0,0.0,773.0,22.0,10.0
183,physicsalmirantebarroso,3377,780.0,89.0,1.0,0.0,1152.0,5.0,0.0,14.0,78.0,0.0,959.0,98.0,201.0
184,physicsaugustomontenegro,4883,2881.0,103.0,1.0,0.0,1082.0,0.0,0.0,6.0,11.0,0.0,756.0,43.0,0.0
185,physicsbatistacampos,3515,1151.0,318.0,1.0,0.0,1369.0,2.0,0.0,0.0,23.0,0.0,615.0,26.0,10.0
