,namespace,M.Pdfs,M.Videos,M.Tarefas,M.S.Exs
201,souhabilis,1.76,1.0,0.0,0.24
202,spdacruz,1.52,1.17,0.28,0.02
203,stellamarisaguaverde,1.37,1.34,0.27,0.02
204,stellamarisjuveve,1.68,1.13,0.13,0.05
205,stellamarisxaxim,1.74,1.07,0.06,0.13
206,tiathais,1.94,1.03,0.0,0.04
207,tiquinhodegente,1.75,1.23,0.02,0.0
208,universitariolondrina,1.27,1.59,0.07,0.07
209,universobarcarena,1.79,1.05,0.11,0.04
210,valdemiracoelho,1.33,1.28,0.13,0.05
211,venceslauchaves,1.36,1.57,0.04,0.04
212,villalobos,1.71,1.14,0.01,0.13
213,visaorecife,1.29,1.19,0.0,0.52
