,namespace,(Prof) M.Correções,(Prof) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Correções,(Admin) M.Comentários Forum,(Admin) M.Resultados,(Student) M.Comentários Forum,(Student) M. de Likes,(Student) M. de Uploads
187,escolainternacional,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.67,0.0
188,escolajardimdasnacoes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,formacoesipu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,forumcultural,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,franciscoperes,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0
192,fundacaobradesco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,galois,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
194,goncalomartins,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
195,hamiltondarocha,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
196,idaam,0.0,0.0,0.0,0.0,0.0,5.45,0.0,0.04,0.0
197,idb,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
198,institutoeurofarma,0.0,1.0,0.0,0.0,1.0,32.67,1.0,5.19,0.0
199,institutokairos,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
200,iracemarufino,0.0,12.0,9.5,0.0,0.0,0.0,7.0,1.47,0.05
201,ismart,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
202,jeanpiaget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,joaoferreira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,laboratoriosromildo,0.0,0.0,0.0,0.0,0.0,71.0,1.0,7.76,0.0
205,liessin,0.0,8.0,6.67,0.0,0.0,0.0,6.0,22.5,0.0
206,liessinbarra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
207,litteratus,0.0,0.0,15.0,0.27,0.0,10.0,0.0,0.5,0.0
208,luizgonzaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,master,0.0,0.0,334.17,0.0,0.0,0.82,1.0,0.31,0.0
210,melquiadescamelo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,monsenhorfrancisco,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.33,0.0
212,monsenhorgoncalo,0.0,0.0,5.17,0.0,0.0,0.0,0.0,0.74,0.0
213,montessori,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0
214,novotempo,0.0,0.0,300.0,0.0,0.0,37.5,0.0,0.36,0.0
215,objetivoteresina,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,overnascimentodecastro,0.0,0.0,50.75,0.0,0.0,9.23,0.0,0.93,0.0
217,palmares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
218,pauloviana,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
219,pcf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,pesenglish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,plannetataboao,0.0,0.0,37.91,0.0,0.0,0.0,0.0,0.0,0.0
222,podion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,poliedro,0.0,0.0,0.0,0.0,0.0,8.93,0.0,0.0,0.0
224,portalsas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
225,portoseguro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,santadoroteia,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.18,0.0
227,santoagostinho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
